objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
coll001,IMG_0145.jpg,,,My Little Garden,Kris Joseph,2012-06-23,A dirty child's bib (or is it?) laying on the sidewalk,,Victoria Park,53.53867,-113.518,,IMG_0145,sidewalk;baby;pink;dirty,image/jpeg,,,
coll002,IMG_0011.jpg,,,Fence Drape,Kris Joseph,2012-09-23,"A torn and wrinkled button-up shirt, draped over a chain link fence",,104 St,53.53633,-113.49967,,IMG_0011,fence;button-up;pink;wrinkled,image/jpeg,,,
coll003,IMG_0027.jpg,,,,Kris Joseph,,,,"Edmonton, Alberta",,,,,,image/jpeg,,,
coll004,IMG_0028.jpg,,,,Kris Joseph,,,,"Edmonton, Alberta",,,,,,image/jpeg,,,
coll005,IMG_0029.jpg,,,,Kris Joseph,,,,"Edmonton, Alberta",,,,,,image/jpeg,,,
coll006,IMG_0036.jpg,,,,Kris Joseph,,,,"Edmonton, Alberta",,,,,,image/jpeg,,,
coll007,IMG_0038.jpg,,,,Kris Joseph,,,,"Edmonton, Alberta",,,,,,image/jpeg,,,
coll008,IMG_0039.jpg,,,,Kris Joseph,,,,"Edmonton, Alberta",,,,,,image/jpeg,,,
coll009,IMG_0041.jpg,,,,Kris Joseph,,,,"Edmonton, Alberta",,,,,,image/jpeg,,,
coll010,IMG_0043.jpg,,,,Kris Joseph,,,,"Edmonton, Alberta",,,,,,image/jpeg,,,
coll011,IMG_0045.jpg,,,,Kris Joseph,,,,"Edmonton, Alberta",,,,,,image/jpeg,,,
coll012,IMG_0047.jpg,,,,Kris Joseph,,,,"Edmonton, Alberta",,,,,,image/jpeg,,,
coll013,IMG_0055.jpg,,,,Kris Joseph,,,,"Edmonton, Alberta",,,,,,image/jpeg,,,
coll014,IMG_0060.jpg,,,,Kris Joseph,,,,"Edmonton, Alberta",,,,,,image/jpeg,,,
coll015,IMG_0061.jpg,,,,Kris Joseph,,,,"Edmonton, Alberta",,,,,,image/jpeg,,,
coll016,IMG_0064.jpg,,,,Kris Joseph,,,,"Edmonton, Alberta",,,,,,image/jpeg,,,
coll017,IMG_0065.jpg,,,,Kris Joseph,,,,"Edmonton, Alberta",,,,,,image/jpeg,,,
coll018,IMG_0098.jpg,,,,Kris Joseph,,,,"Edmonton, Alberta",,,,,,image/jpeg,,,
coll019,IMG_0102.jpg,,,,Kris Joseph,,,,"Edmonton, Alberta",,,,,,image/jpeg,,,
coll020,IMG_0108.jpg,,,,Kris Joseph,,,,"Edmonton, Alberta",,,,,,image/jpeg,,,
coll021,IMG_0116.jpg,,,,Kris Joseph,,,,"Edmonton, Alberta",,,,,,image/jpeg,,,
coll022,IMG_0117.jpg,,,,Kris Joseph,,,,"Edmonton, Alberta",,,,,,image/jpeg,,,
coll023,IMG_0129.jpg,,,,Kris Joseph,,,,"Edmonton, Alberta",,,,,,image/jpeg,,,
coll024,IMG_0139.jpg,,,,Kris Joseph,,,,"Edmonton, Alberta",,,,,,image/jpeg,,,
coll025,IMG_0143.jpg,,,,Kris Joseph,,,,"Edmonton, Alberta",,,,,,image/jpeg,,,
coll026,IMG_0146.jpg,,,,Kris Joseph,,,,"Edmonton, Alberta",,,,,,image/jpeg,,,
coll027,IMG_0147.jpg,,,,Kris Joseph,,,,"Edmonton, Alberta",,,,,,image/jpeg,,,
coll028,IMG_0149.jpg,,,,Kris Joseph,,,,"Edmonton, Alberta",,,,,,image/jpeg,,,
coll029,IMG_0150.jpg,,,,Kris Joseph,,,,"Edmonton, Alberta",,,,,,image/jpeg,,,
coll030,IMG_0151.jpg,,,,Kris Joseph,,,,"Edmonton, Alberta",,,,,,image/jpeg,,,
coll031,IMG_0154.jpg,,,,Kris Joseph,,,,"Edmonton, Alberta",,,,,,image/jpeg,,,
coll032,IMG_0159.jpg,,,,Kris Joseph,,,,"Edmonton, Alberta",,,,,,image/jpeg,,,
coll033,IMG_0172.jpg,,,,Kris Joseph,,,,"Edmonton, Alberta",,,,,,image/jpeg,,,
coll034,IMG_0173.jpg,,,,Kris Joseph,,,,"Edmonton, Alberta",,,,,,image/jpeg,,,
